Read file in one pass,File size is 128Kb,
Read entry,1082523,
Read exit,1088961,6438
Read entry,1089169,
Read exit,1096150,6981
Read entry,1096358,
Read exit,1103282,6924
Read entry,1103491,
Read exit,1110416,6925
Read entry,1110625,
Read exit,1117548,6923
Read entry,1117757,
Read exit,1124684,6927
Read entry,1124892,
Read exit,1131815,6923
Read entry,1132024,
Read exit,1138460,6436
Read entry,1138669,
Read exit,1145107,6438
Read entry,1145316,
Read exit,1151755,6439
Read entry,1151964,
Read exit,1158402,6438
Read entry,1158611,
Read exit,1165054,6443
Read entry,1165263,
Read exit,1171704,6441
Read entry,1171913,
Read exit,1178350,6437
Read entry,1178559,
Read exit,1185001,6442
Read entry,1185209,
Read exit,1191652,6443
Read entry,1191861,
Read exit,1198789,6928
Read entry,1198998,
Read exit,1205924,6926
Read entry,1206132,
Read exit,1213059,6927
Read entry,1213268,
Read exit,1220197,6929
Read entry,1220405,
Read exit,1227332,6927
Read entry,1227541,
Read exit,1234523,6982
Read entry,1234731,
Read exit,1241169,6438
Read entry,1241378,
Read exit,1247821,6443
Read entry,1248030,
Read exit,1254469,6439
Read entry,1254677,
Read exit,1261116,6439
Read entry,1261325,
Read exit,1267764,6439
Read entry,1267973,
Read exit,1274411,6438
Read entry,1274620,
Read exit,1281058,6438
Read entry,1281267,
Read exit,1287705,6438
Read entry,1287914,
Read exit,1294353,6439
Read entry,1294562,
Read exit,1300999,6437
Read entry,1301208,
Read exit,1308135,6927
Read entry,1308344,
Read exit,1315270,6926
Read entry,1315479,
Read exit,1322407,6928
Read entry,1322616,
Read exit,1329545,6929
Read entry,1329754,
Read exit,1336680,6926
Read entry,1336889,
Read exit,1343816,6927
Read entry,1344025,
Read exit,1350464,6439
Read entry,1350672,
Read exit,1357111,6439
Read entry,1357320,
Read exit,1363756,6436
Read entry,1363964,
Read exit,1370403,6439
Read entry,1370612,
Read exit,1377049,6437
Read entry,1377258,
Read exit,1383695,6437
Read entry,1383904,
Read exit,1390345,6441
Read entry,1390553,
Read exit,1396994,6441
Read entry,1397203,
Read exit,1403643,6440
Read entry,1403852,
Read exit,1410288,6436
Read entry,1410497,
Read exit,1417426,6929
Read entry,1417634,
Read exit,1424554,6920
Read entry,1424763,
Read exit,1431689,6926
Read entry,1431898,
Read exit,1438822,6924
Read entry,1439031,
Read exit,1445953,6922
Read entry,1446162,
Read exit,1453086,6924
Read entry,1453294,
Read exit,1459733,6439
Read entry,1459942,
Read exit,1466382,6440
Read entry,1466591,
Read exit,1473032,6441
Read entry,1473241,
Read exit,1479677,6436
Read entry,1479886,
Read exit,1486325,6439
Read entry,1486534,
Read exit,1492973,6439
Read entry,1493182,
Read exit,1499622,6440
Read entry,1499830,
Read exit,1506271,6441
Read entry,1506480,
Read exit,1512921,6441
Read entry,1513130,
Read exit,1520054,6924
Read entry,1520263,
Read exit,1527188,6925
Read entry,1527397,
Read exit,1534325,6928
Read entry,1534534,
Read exit,1541460,6926
Read entry,1541669,
Read exit,1548591,6922
Read entry,1548800,
Read exit,1555720,6920
Read entry,1555928,
Read exit,1562369,6441
Read entry,1562578,
Read exit,1569021,6443
Read entry,1569230,
Read exit,1575672,6442
Read entry,1575880,
Read exit,1582317,6437
Read entry,1582526,
Read exit,1588965,6439
Read entry,1589174,
Read exit,1595611,6437
Read entry,1595820,
Read exit,1602259,6439
Read entry,1602468,
Read exit,1608909,6441
Read entry,1609118,
Read exit,1615558,6440
Read entry,1615767,
Read exit,1622204,6437
Read entry,1622413,
Read exit,1629338,6925
Read entry,1629547,
Read exit,1636473,6926
Read entry,1636682,
Read exit,1643613,6931
Read entry,1643821,
Read exit,1650750,6929
Read entry,1650959,
Read exit,1657882,6923
Read entry,1658091,
Read exit,1665018,6927
Read entry,1665226,
Read exit,1671665,6439
Read entry,1671874,
Read exit,1678311,6437
Read entry,1678520,
Read exit,1684960,6440
Read entry,1685169,
Read exit,1691610,6441
Read entry,1691819,
Read exit,1698262,6443
Read entry,1698471,
Read exit,1704908,6437
Read entry,1705117,
Read exit,1711560,6443
Read entry,1711768,
Read exit,1718208,6440
Read entry,1718416,
Read exit,1724856,6440
Read entry,1725064,
Read exit,1731990,6926
Read entry,1732199,
Read exit,1739124,6925
Read entry,1739333,
Read exit,1746256,6923
Read entry,1746465,
Read exit,1753390,6925
Read entry,1753599,
Read exit,1760521,6922
Read entry,1760730,
Read exit,1767652,6922
Read entry,1767861,
Read exit,1774784,6923
Read entry,1774993,
Read exit,1781430,6437
Read entry,1781639,
Read exit,1788078,6439
Read entry,1788287,
Read exit,1794725,6438
Read entry,1794934,
Read exit,1801376,6442
Read entry,1801585,
Read exit,1808021,6436
Read entry,1808230,
Read exit,1814678,6448
Read entry,1814887,
Read exit,1817227,2340
min,2340,
max,6984,
Set mark entry,1817517,
Set mark exit,1822068,4551
Close entry,1822272,
Close exit,1825238,2966
Read file block-by-block,File size is 128Kb,
Open entry,0,
Open exit,66530,66530
Block read entry,66799,
Block read exit,75241,8442
Block read entry,75545,
Block read exit,83993,8448
Block read entry,84296,
Block read exit,92744,8448
Block read entry,93044,
Block read exit,101546,8502
Block read entry,101849,
Block read exit,110295,8446
Block read entry,110594,
Block read exit,118555,7961
Block read entry,118857,
Block read exit,126818,7961
Block read entry,127606,
Block read exit,135567,7961
Block read entry,135866,
Block read exit,143825,7959
Block read entry,144127,
Block read exit,152088,7961
Block read entry,152387,
Block read exit,160837,8450
Block read entry,161136,
Block read exit,169579,8443
Block read entry,169878,
Block read exit,178325,8447
Block read entry,178624,
Block read exit,187069,8445
Block read entry,187368,
Block read exit,195816,8448
Block read entry,196115,
Block read exit,204563,8448
Block read entry,204862,
Block read exit,212822,7960
Block read entry,213121,
Block read exit,221081,7960
Block read entry,221380,
Block read exit,229338,7958
Block read entry,229640,
Block read exit,237602,7962
Block read entry,237901,
Block read exit,245863,7962
Block read entry,246162,
Block read exit,254609,8447
Block read entry,254908,
Block read exit,263356,8448
Block read entry,263655,
Block read exit,272102,8447
Block read entry,272401,
Block read exit,280846,8445
Block read entry,281145,
Block read exit,289595,8450
Block read entry,289894,
Block read exit,297854,7960
Block read entry,298153,
Block read exit,306114,7961
Block read entry,306413,
Block read exit,314375,7962
Block read entry,314674,
Block read exit,322633,7959
Block read entry,322932,
Block read exit,330892,7960
Block read entry,331191,
Block read exit,339644,8453
Block read entry,339943,
Block read exit,348387,8444
Block read entry,348686,
Block read exit,357136,8450
Block read entry,357435,
Block read exit,365881,8446
Block read entry,366180,
Block read exit,374627,8447
Block read entry,374926,
Block read exit,382885,7959
Block read entry,383184,
Block read exit,391144,7960
Block read entry,391443,
Block read exit,399403,7960
Block read entry,399702,
Block read exit,407661,7959
Block read entry,407960,
Block read exit,415920,7960
Block read entry,416219,
Block read exit,424179,7960
Block read entry,424478,
Block read exit,432987,8509
Block read entry,433290,
Block read exit,441739,8449
Block read entry,442038,
Block read exit,450486,8448
Block read entry,450785,
Block read exit,459233,8448
Block read entry,459532,
Block read exit,467978,8446
Block read entry,468277,
Block read exit,476236,7959
Block read entry,476535,
Block read exit,484494,7959
Block read entry,484793,
Block read exit,492753,7960
Block read entry,493052,
Block read exit,501010,7958
Block read entry,501309,
Block read exit,509270,7961
Block read entry,509569,
Block read exit,518017,8448
Block read entry,518316,
Block read exit,526765,8449
Block read entry,527064,
Block read exit,535516,8452
Block read entry,535815,
Block read exit,544263,8448
Block read entry,544562,
Block read exit,553010,8448
Block read entry,553309,
Block read exit,561271,7962
Block read entry,561570,
Block read exit,569532,7962
Block read entry,569831,
Block read exit,577790,7959
Block read entry,578089,
Block read exit,586049,7960
Block read entry,586348,
Block read exit,594310,7962
Block read entry,594609,
Block read exit,603053,8444
Block read entry,603352,
Block read exit,611801,8449
Block read entry,612100,
Block read exit,620550,8450
Block read entry,620849,
Block read exit,629295,8446
Block read entry,629594,
Block read exit,638042,8448
Block read entry,638341,
Block read exit,646301,7960
Block read entry,646600,
Block read exit,654561,7961
Block read entry,655347,
Block read exit,663305,7958
Block read entry,663604,
Block read exit,671565,7961
Block read entry,671864,
Block read exit,679822,7958
Block read entry,680121,
Block read exit,688568,8447
Block read entry,688867,
Block read exit,697315,8448
Block read entry,697614,
Block read exit,706058,8444
Block read entry,706357,
Block read exit,714807,8450
Block read entry,715106,
Block read exit,723552,8446
Block read entry,723851,
Block read exit,731811,7960
Block read entry,732110,
Block read exit,740070,7960
Block read entry,740369,
Block read exit,748329,7960
Block read entry,748628,
Block read exit,756589,7961
Block read entry,756888,
Block read exit,764849,7961
Block read entry,765148,
Block read exit,773108,7960
Block read entry,773407,
Block read exit,781853,8446
Block read entry,782152,
Block read exit,790600,8448
Block read entry,790899,
Block read exit,799341,8442
Block read entry,799640,
Block read exit,808088,8448
Block read entry,808387,
Block read exit,816836,8449
Block read entry,817135,
Block read exit,825094,7959
Block read entry,825393,
Block read exit,833353,7960
Block read entry,833652,
Block read exit,841613,7961
Block read entry,841912,
Block read exit,849873,7961
Block read entry,850172,
Block read exit,858132,7960
Block read entry,858431,
Block read exit,866878,8447
Block read entry,867177,
Block read exit,875620,8443
Block read entry,875919,
Block read exit,884369,8450
Block read entry,884668,
Block read exit,893110,8442
Block read entry,893409,
Block read exit,901853,8444
Block read entry,902152,
Block read exit,910113,7961
Block read entry,910412,
Block read exit,918371,7959
Block read entry,918670,
Block read exit,926630,7960
Block read entry,926929,
Block read exit,934889,7960
Block read entry,935188,
Block read exit,943150,7962
Block read entry,943449,
Block read exit,951896,8447
Block read entry,952195,
Block read exit,960643,8448
Block read entry,960942,
Block read exit,969392,8450
Block read entry,969691,
Block read exit,978141,8450
Block read entry,978440,
Block read exit,986886,8446
Block read entry,987185,
Block read exit,995147,7962
Block read entry,995446,
Block read exit,1003407,7961
Block read entry,1003706,
Block read exit,1011666,7960
Block read entry,1011965,
Block read exit,1019924,7959
Block read entry,1020223,
Block read exit,1028719,8496
Block read entry,1029018,
Block read exit,1037466,8448
Block read entry,1037765,
Block read exit,1046208,8443
Block read entry,1046507,
Block read exit,1054463,7956
Block read entry,1055253,
Block read exit,1063213,7960
Block read entry,1063512,
Block read exit,1071470,7958
Block read entry,1071769,
Block read exit,1080221,8452
Block read entry,1080520,
Block read exit,1088963,8443
Block read entry,1089262,
Block read exit,1097709,8447
Block read entry,1098008,
Block read exit,1105970,7962
Block read entry,1106269,
Block read exit,1114229,7960
Block read entry,1114528,
Block read exit,1122488,7960
Block read entry,1122787,
Block read exit,1131234,8447
Block read entry,1131533,
Block read exit,1139983,8450
Block read entry,1140282,
Block read exit,1148732,8450
Block read entry,1149031,
Block read exit,1156991,7960
Block read entry,1157290,
Block read exit,1165250,7960
Block read entry,1165549,
Block read exit,1173509,7960
Block read entry,1173808,
Block read exit,1181766,7958
Block read entry,1182065,
Block read exit,1190512,8447
Block read entry,1190811,
Block read exit,1199261,8450
Block read entry,1199560,
Block read exit,1207521,7961
Block read entry,1207820,
Block read exit,1215780,7960
Block read entry,1216079,
Block read exit,1224037,7958
Block read entry,1224336,
Block read exit,1232296,7960
Block read entry,1232595,
Block read exit,1241045,8450
Block read entry,1241344,
Block read exit,1249789,8445
Block read entry,1250088,
Block read exit,1258538,8450
Block read entry,1258837,
Block read exit,1266796,7959
Block read entry,1267095,
Block read exit,1275056,7961
Block read entry,1275355,
Block read exit,1283315,7960
Block read entry,1283614,
Block read exit,1292063,8449
Block read entry,1292362,
Block read exit,1300810,8448
Block read entry,1301109,
Block read exit,1309561,8452
Block read entry,1309860,
Block read exit,1317821,7961
Block read entry,1318608,
Block read exit,1326564,7956
Block read entry,1326863,
Block read exit,1334822,7959
Block read entry,1335121,
Block read exit,1343568,8447
Block read entry,1343867,
Block read exit,1352313,8446
Block read entry,1352612,
Block read exit,1361051,8439
Block read entry,1361350,
Block read exit,1369310,7960
Block read entry,1369609,
Block read exit,1377569,7960
Block read entry,1377868,
Block read exit,1385828,7960
Block read entry,1386127,
Block read exit,1394572,8445
Block read entry,1394871,
Block read exit,1403321,8450
Block read entry,1403620,
Block read exit,1412062,8442
Block read entry,1412361,
Block read exit,1420319,7958
Block read entry,1420618,
Block read exit,1428577,7959
Block read entry,1428876,
Block read exit,1436836,7960
Block read entry,1437135,
Block read exit,1445580,8445
Block read entry,1445879,
Block read exit,1454324,8445
Block read entry,1454623,
Block read exit,1463070,8447
Block read entry,1463369,
Block read exit,1471328,7959
Block read entry,1471627,
Block read exit,1479586,7959
Block read entry,1479885,
Block read exit,1487849,7964
Block read entry,1488148,
Block read exit,1496107,7959
Block read entry,1496406,
Block read exit,1504854,8448
Block read entry,1505153,
Block read exit,1513599,8446
Block read entry,1513898,
Block read exit,1522408,8510
Block read entry,1522711,
Block read exit,1530670,7959
Block read entry,1530969,
Block read exit,1538929,7960
Block read entry,1539228,
Block read exit,1547188,7960
Block read entry,1547487,
Block read exit,1555936,8449
Block read entry,1556235,
Block read exit,1564684,8449
Block read entry,1564983,
Block read exit,1573432,8449
Block read entry,1573731,
Block read exit,1581691,7960
Block read entry,1581990,
Block read exit,1589950,7960
Block read entry,1590249,
Block read exit,1598211,7962
Block read entry,1598510,
Block read exit,1606956,8446
Block read entry,1607255,
Block read exit,1615699,8444
Block read entry,1615998,
Block read exit,1624440,8442
Block read entry,1624739,
Block read exit,1632699,7960
Block read entry,1633484,
Block read exit,1641444,7960
Block read entry,1641743,
Block read exit,1649704,7961
Block read entry,1650003,
Block read exit,1658456,8453
Block read entry,1658755,
Block read exit,1667200,8445
Block read entry,1667499,
Block read exit,1675947,8448
Block read entry,1676246,
Block read exit,1684206,7960
Block read entry,1684505,
Block read exit,1692461,7956
Block read entry,1692760,
Block read exit,1700718,7958
Block read entry,1701017,
Block read exit,1709463,8446
Block read entry,1709762,
Block read exit,1718210,8448
Block read entry,1718509,
Block read exit,1726953,8444
Block read entry,1727252,
Block read exit,1735212,7960
Block read entry,1735511,
Block read exit,1743470,7959
Block read entry,1743769,
Block read exit,1751729,7960
Block read entry,1752028,
Block read exit,1760474,8446
Block read entry,1760773,
Block read exit,1769215,8442
Block read entry,1769514,
Block read exit,1777956,8442
Block read entry,1778255,
Block read exit,1786213,7958
Block read entry,1786512,
Block read exit,1794474,7962
Block read entry,1794773,
Block read exit,1802731,7958
Block read entry,1803030,
Block read exit,1810990,7960
Block read entry,1811289,
Block read exit,1819734,8445
Block read entry,1820033,
Block read exit,1828482,8449
Block read entry,1828781,
Block read exit,1837233,8452
Block read entry,1837532,
Block read exit,1845491,7959
Block read entry,1845790,
Block read exit,1853748,7958
Block read entry,1854047,
Block read exit,1862008,7961
Block read entry,1862307,
Block read exit,1870759,8452
Block read entry,1871058,
Block read exit,1879502,8444
Block read entry,1879801,
Block read exit,1888249,8448
Block read entry,1888548,
Block read exit,1896504,7956
Block read entry,1896803,
Block read exit,1904767,7964
Block read entry,1905066,
Block read exit,1913024,7958
Block read entry,1913323,
Block read exit,1921769,8446
Block read entry,1922068,
Block read exit,1930518,8450
Block read entry,1930817,
Block read exit,1939262,8445
Block read entry,1939561,
Block read exit,1947521,7960
Block read entry,1947820,
Block read exit,1955778,7958
Block read entry,1956077,
Block read exit,1964037,7960
Block read entry,1964336,
Block read exit,1972782,8446
Block read entry,1973081,
Block read exit,1981526,8445
Block read entry,1981825,
Block read exit,1990271,8446
Block read entry,1990570,
Block read exit,1998530,7960
Block read entry,1998829,
Block read exit,2006790,7961
Block read entry,2007089,
Block read exit,2015049,7960
Block read entry,2015348,
Block read exit,2023802,8454
Block read entry,2024101,
Block read exit,2032548,8447
Block read entry,2032847,
Block read exit,2041294,8447
Block read entry,2041593,
Block read exit,2049557,7964
Block read entry,2049856,
Block read exit,2057816,7960
Block read entry,2058115,
Block read exit,2066071,7956
Block read entry,2066370,
Block read exit,2074814,8444
Block read entry,2075113,
Block read exit,2083565,8452
Block read entry,2083864,
Block read exit,2092311,8447
Block read entry,2092610,
Block read exit,2100569,7959
Block read entry,2100868,
Block read exit,2108828,7960
Block read entry,2109127,
Block read exit,2117087,7960
Block read entry,2117386,
Block read exit,2125344,7958
Block read entry,2125643,
Block read exit,2134087,8444
Block read entry,2134386,
Block read exit,2142833,8447
Block read entry,2143132,
Block read exit,2151584,8452
Block read entry,2151883,
Block read exit,2159842,7959
Block read entry,2160141,
Block read exit,2168101,7960
Block read entry,2168400,
Block read exit,2176360,7960
Block read entry,2176659,
Block read exit,2185108,8449
Block read entry,2185407,
Block read exit,2193855,8448
Block read entry,2194154,
Block read exit,2202599,8445
Block read entry,2202898,
Block read exit,2210857,7959
Block read entry,2211643,
Block read exit,2219603,7960
Block read entry,2219902,
Block read exit,2227858,7956
Block read entry,2228157,
Block read exit,2236603,8446
Block read entry,2236902,
Block read exit,2245345,8443
min,7956,
max,8510,
Set mark entry,2245637,
Set mark exit,2245865,228
Close entry,2246065,
Close exit,2246251,186
Read file b-by-b low level,File size is 128Kb,
Open entry,0,
Open exit,36776,36776
Block read entry,37047,
Block read exit,45315,8268
Block read entry,45619,
Block read exit,53885,8266
Block read entry,54187,
Block read exit,62942,8755
Block read entry,63245,
Block read exit,71998,8753
Block read entry,72297,
Block read exit,81051,8754
Block read entry,81350,
Block read exit,90101,8751
Block read entry,90400,
Block read exit,99157,8757
Block read entry,99460,
Block read exit,108208,8748
Block read entry,108507,
Block read exit,117260,8753
Block read entry,117559,
Block read exit,125828,8269
Block read entry,126127,
Block read exit,134395,8268
Block read entry,134694,
Block read exit,142965,8271
Block read entry,143264,
Block read exit,151535,8271
Block read entry,151834,
Block read exit,160102,8268
Block read entry,160401,
Block read exit,169152,8751
Block read entry,169451,
Block read exit,178202,8751
Block read entry,178501,
Block read exit,187256,8755
Block read entry,187555,
Block read exit,196306,8751
Block read entry,196605,
Block read exit,204874,8269
Block read entry,205173,
Block read exit,213443,8270
Block read entry,213742,
Block read exit,222010,8268
Block read entry,222309,
Block read exit,230577,8268
Block read entry,230876,
Block read exit,239629,8753
Block read entry,239928,
Block read exit,248679,8751
Block read entry,248978,
Block read exit,257733,8755
Block read entry,258032,
Block read exit,266792,8760
Block read entry,267095,
Block read exit,275844,8749
Block read entry,276143,
Block read exit,284412,8269
Block read entry,284711,
Block read exit,292981,8270
Block read entry,293280,
Block read exit,301548,8268
Block read entry,301847,
Block read exit,310118,8271
Block read entry,310417,
Block read exit,319168,8751
Block read entry,319467,
Block read exit,328222,8755
Block read entry,328521,
Block read exit,337273,8752
Block read entry,337572,
Block read exit,346330,8758
Block read entry,346629,
Block read exit,354899,8270
Block read entry,355198,
Block read exit,363462,8264
Block read entry,363764,
Block read exit,372033,8269
Block read entry,372332,
Block read exit,380599,8267
Block read entry,380898,
Block read exit,389168,8270
Block read entry,389467,
Block read exit,398225,8758
Block read entry,398524,
Block read exit,407280,8756
Block read entry,407579,
Block read exit,416394,8815
Block read entry,416697,
Block read exit,425450,8753
Block read entry,425749,
Block read exit,434015,8266
Block read entry,434314,
Block read exit,442583,8269
Block read entry,442882,
Block read exit,451151,8269
Block read entry,451450,
Block read exit,459720,8270
Block read entry,460019,
Block read exit,468771,8752
Block read entry,469070,
Block read exit,477826,8756
Block read entry,478125,
Block read exit,486872,8747
Block read entry,487171,
Block read exit,495922,8751
Block read entry,496221,
Block read exit,504977,8756
Block read entry,505276,
Block read exit,513543,8267
Block read entry,513842,
Block read exit,522112,8270
Block read entry,522411,
Block read exit,530682,8271
Block read entry,530981,
Block read exit,539249,8268
Block read entry,539548,
Block read exit,548299,8751
Block read entry,548598,
Block read exit,557354,8756
Block read entry,557653,
Block read exit,566406,8753
Block read entry,566705,
Block read exit,575457,8752
Block read entry,575756,
Block read exit,584024,8268
Block read entry,584323,
Block read exit,592590,8267
Block read entry,593374,
Block read exit,601642,8268
Block read entry,601941,
Block read exit,610208,8267
Block read entry,610507,
Block read exit,618773,8266
Block read entry,619072,
Block read exit,627827,8755
Block read entry,628126,
Block read exit,636882,8756
Block read entry,637181,
Block read exit,645936,8755
Block read entry,646235,
Block read exit,654988,8753
Block read entry,655287,
Block read exit,663555,8268
Block read entry,663854,
Block read exit,672121,8267
Block read entry,672420,
Block read exit,680688,8268
Block read entry,680987,
Block read exit,689255,8268
Block read entry,689554,
Block read exit,698308,8754
Block read entry,698607,
Block read exit,707364,8757
Block read entry,707663,
Block read exit,716411,8748
Block read entry,716710,
Block read exit,725467,8757
Block read entry,725766,
Block read exit,734518,8752
Block read entry,734817,
Block read exit,743084,8267
Block read entry,743383,
Block read exit,751650,8267
Block read entry,751949,
Block read exit,760216,8267
Block read entry,760515,
Block read exit,768784,8269
Block read entry,769083,
Block read exit,777841,8758
Block read entry,778140,
Block read exit,786896,8756
Block read entry,787195,
Block read exit,795947,8752
Block read entry,796246,
Block read exit,804999,8753
Block read entry,805298,
Block read exit,813564,8266
Block read entry,813863,
Block read exit,822131,8268
Block read entry,822430,
Block read exit,830696,8266
Block read entry,830995,
Block read exit,839263,8268
Block read entry,839562,
Block read exit,847829,8267
Block read entry,848128,
Block read exit,856883,8755
Block read entry,857182,
Block read exit,865938,8756
Block read entry,866237,
Block read exit,874990,8753
Block read entry,875289,
Block read exit,884037,8748
Block read entry,884336,
Block read exit,892603,8267
Block read entry,892902,
Block read exit,901170,8268
Block read entry,901469,
Block read exit,909737,8268
Block read entry,910036,
Block read exit,918304,8268
Block read entry,918603,
Block read exit,927357,8754
Block read entry,927656,
Block read exit,936410,8754
Block read entry,936709,
Block read exit,945465,8756
Block read entry,945764,
Block read exit,954519,8755
Block read entry,954818,
Block read exit,963573,8755
Block read entry,963872,
Block read exit,972139,8267
Block read entry,972438,
Block read exit,980707,8269
Block read entry,981006,
Block read exit,989272,8266
Block read entry,989571,
Block read exit,997839,8268
Block read entry,998138,
Block read exit,1006898,8760
Block read entry,1007197,
Block read exit,1015950,8753
Block read entry,1016249,
Block read exit,1025008,8759
Block read entry,1025307,
Block read exit,1033573,8266
Block read entry,1033872,
Block read exit,1042139,8267
Block read entry,1042438,
Block read exit,1050704,8266
Block read entry,1051003,
Block read exit,1059757,8754
Block read entry,1060056,
Block read exit,1068811,8755
Block read entry,1069110,
Block read exit,1077377,8267
Block read entry,1077676,
Block read exit,1085944,8268
Block read entry,1086243,
