Read file per 512 bytes,File size is 256Kb
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Read exit,00000000
Read entry,00000000
Close entry,00000000
Close exit,00000000
Read file block-by-block,File size is 256Kb
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
Block read entry,00000000
Block read exit,00000000
