Read file in one pass,File size is 256Kb,
Read entry,4177750,
Read exit,4202563,24813
Read entry,4202772,
Read exit,4227580,24808
Read entry,4227789,
Read exit,4252600,24811
Read entry,4252808,
Read exit,4278172,25364
Read entry,4278381,
Read exit,4306257,27876
Read entry,4306466,
Read exit,4330434,23968
Read entry,4330643,
Read exit,4354607,23964
Read entry,4354816,
Read exit,4378534,23718
Read entry,4378743,
Read exit,4402630,23887
Read entry,4402839,
Read exit,4427349,24510
Read entry,4427558,
Read exit,4452274,24716
Read entry,4452482,
Read exit,4477213,24731
Read entry,4477422,
Read exit,4504418,26996
Read entry,4504627,
Read exit,4528919,24292
Read entry,4529128,
Read exit,4553248,24120
Read entry,4553457,
Read exit,4578065,24608
Read entry,4578274,
Read exit,4602788,24514
Read entry,4602996,
Read exit,4627504,24508
Read entry,4627713,
Read exit,4651848,24135
Read entry,4652057,
Read exit,4676561,24504
Read entry,4676770,
Read exit,4704590,27820
Read entry,4704799,
Read exit,4729594,24795
Read entry,4729803,
Read exit,4754815,25012
Read entry,4755024,
Read exit,4779548,24524
Read entry,4779756,
Read exit,4804298,24542
Read entry,4804507,
Read exit,4829039,24532
Read entry,4829248,
Read exit,4853788,24540
Read entry,4853997,
Read exit,4879023,25026
Read entry,4879232,
Read exit,4907129,27897
Read entry,4907338,
Read exit,4931880,24542
Read entry,4932089,
Read exit,4956624,24535
Read entry,4956832,
Read exit,4981378,24546
Read entry,4981587,
Read exit,5006609,25022
Read entry,5006818,
Read exit,5031404,24586
Read entry,5031613,
Read exit,5056531,24918
Read entry,5056740,
Read exit,5081148,24408
Read entry,5081357,
Read exit,5108328,26971
Read entry,5108537,
Read exit,5132974,24437
Read entry,5133183,
Read exit,5157880,24697
Read entry,5158089,
Read exit,5182588,24499
Read entry,5182797,
Read exit,5207328,24531
Read entry,5207536,
Read exit,5231680,24144
Read entry,5232377,
Read exit,5256525,24148
Read entry,5256733,
Read exit,5280929,24196
Read entry,5281138,
Read exit,5308815,27677
Read entry,5309024,
Read exit,5333630,24606
Read entry,5333839,
Read exit,5358634,24795
Read entry,5358843,
Read exit,5383253,24410
Read entry,5383462,
Read exit,5407869,24407
Read entry,5408078,
Read exit,5432485,24407
Read entry,5432693,
Read exit,5457582,24889
Read entry,5457790,
Read exit,5482684,24894
Read entry,5482892,
Read exit,5510994,28102
Read entry,5511203,
Read exit,5535608,24405
Read entry,5535816,
Read exit,5560371,24555
Read entry,5560580,
Read exit,5585704,25124
Read entry,5585913,
Read exit,5611067,25154
Read entry,5611276,
Read exit,5636480,25204
Read entry,5636689,
Read exit,5661504,24815
Read entry,5662198,
Read exit,5686856,24658
Read entry,5687065,
Read exit,5715253,28188
Read entry,5715462,
Read exit,5740722,25260
Read entry,5740931,
Read exit,5766129,25198
Read entry,5766337,
Read exit,5790781,24444
Read entry,5790990,
Read exit,5815431,24441
Read entry,5815640,
Read exit,5839847,24207
Read entry,5840056,
Read exit,5864906,24850
Read entry,5865115,
Read exit,5890042,24927
Read entry,5890251,
Read exit,5917964,27713
Read entry,5918173,
Read exit,5942511,24338
Read entry,5942720,
Read exit,5966694,23974
Read entry,5966902,
Read exit,5990862,23960
Read entry,5991071,
Read exit,6015524,24453
Read entry,6015733,
Read exit,6040192,24459
Read entry,6040401,
Read exit,6064749,24348
Read entry,6064958,
Read exit,6088979,24021
Read entry,6089188,
Read exit,6116187,26999
Read entry,6116396,
Read exit,6140587,24191
Read entry,6140796,
Read exit,6165597,24801
Read entry,6165805,
Read exit,6190602,24797
Read entry,6190811,
Read exit,6215672,24861
Read entry,6215880,
Read exit,6240253,24373
Read entry,6240462,
Read exit,6264669,24207
Read entry,6264878,
Read exit,6289095,24217
Read entry,6289303,
Read exit,6317053,27750
Read entry,6317262,
Read exit,6341866,24604
Read entry,6342075,
Read exit,6366833,24758
Read entry,6367042,
Read exit,6391422,24380
Read entry,6391631,
Read exit,6416011,24380
Read entry,6416219,
Read exit,6440586,24367
Read entry,6440795,
Read exit,6465812,25017
Read entry,6466021,
Read exit,6490530,24509
Read entry,6490739,
Read exit,6518866,28127
Read entry,6519075,
Read exit,6577626,58551
Read entry,6577839,
Read exit,6602387,24548
Read entry,6602596,
Read exit,6627138,24542
Read entry,6627347,
Read exit,6652433,25086
Read entry,6652642,
Read exit,6677649,25007
Read entry,6677858,
Read exit,6702496,24638
Read entry,6702704,
Read exit,6727330,24626
Read entry,6727539,
Read exit,6754626,27087
Read entry,6754835,
Read exit,6779313,24478
Read entry,6779522,
Read exit,6804237,24715
Read entry,6804446,
Read exit,6829072,24626
Read entry,6829281,
Read exit,6853700,24419
Read entry,6853909,
Read exit,6878318,24409
Read entry,6878527,
Read exit,6902768,24241
Read entry,6902977,
Read exit,6927226,24249
Read entry,6927435,
Read exit,6955207,27772
Read entry,6955416,
Read exit,6980213,24797
Read entry,6980422,
Read exit,7004827,24405
Read entry,7005036,
Read exit,7029605,24569
Read entry,7029814,
Read exit,7054286,24472
Read entry,7054495,
Read exit,7079637,25142
Read entry,7079846,
Read exit,7104725,24879
Read entry,7104934,
Read exit,7129818,24884
Read entry,7130027,
Read exit,7157562,27535
Read entry,7157771,
Read exit,7182423,24652
Read entry,7182632,
Read exit,7207840,25208
Read entry,7208049,
Read exit,7233145,25096
Read entry,7233354,
Read exit,7258027,24673
Read entry,7258236,
Read exit,7282530,24294
Read entry,7282739,
Read exit,7306772,24033
Read entry,7306981,
Read exit,7331179,24198
Read entry,7331387,
Read exit,7359211,27824
Read entry,7359420,
Read exit,7384457,25037
Read entry,7384666,
Read exit,7409485,24819
Read entry,7409694,
Read exit,7433974,24280
Read entry,7434183,
Read exit,7458634,24451
Read entry,7458842,
Read exit,7483450,24608
Read entry,7483659,
Read exit,7508588,24929
Read entry,7508797,
Read exit,7533631,24834
Read entry,7533840,
Read exit,7561180,27340
Read entry,7561389,
Read exit,7585200,23811
Read entry,7585409,
Read exit,7609438,24029
Read entry,7609646,
Read exit,7633787,24141
Read entry,7633996,
Read exit,7658633,24637
Read entry,7658842,
Read exit,7683382,24540
Read entry,7683590,
Read exit,7708191,24601
Read entry,7708400,
Read exit,7732460,24060
Read entry,7732669,
Read exit,7759773,27104
Read entry,7759982,
Read exit,7784196,24214
Read entry,7784405,
Read exit,7809111,24706
Read entry,7809320,
Read exit,7833916,24596
Read entry,7834125,
Read exit,7858872,24747
Read entry,7859081,
Read exit,7883298,24217
Read entry,7883507,
Read exit,7907723,24216
Read entry,7907932,
Read exit,7932356,24424
Read entry,7932564,
Read exit,7959978,27414
Read entry,7960187,
Read exit,7984793,24606
Read entry,7985002,
Read exit,8009662,24660
Read entry,8009871,
Read exit,8034127,24256
Read entry,8034336,
Read exit,8058702,24366
Read entry,8058911,
Read exit,8083298,24387
Read entry,8083507,
Read exit,8108431,24924
Read entry,8108640,
Read exit,8133590,24950
Read entry,8133798,
Read exit,8161802,28004
Read entry,8162011,
Read exit,8186484,24473
Read entry,8186693,
Read exit,8211387,24694
Read entry,8211596,
Read exit,8236721,25125
Read entry,8236930,
Read exit,8262283,25353
Read entry,8262492,
Read exit,8287603,25111
Read entry,8287812,
Read exit,8312538,24726
Read entry,8313237,
Read exit,8337966,24729
Read entry,8338174,
Read exit,8365786,27612
Read entry,8365995,
Read exit,8390571,24576
Read entry,8390780,
Read exit,8415566,24786
Read entry,8415775,
Read exit,8440022,24247
Read entry,8440230,
Read exit,8464485,24255
Read entry,8464694,
Read exit,8488928,24234
Read entry,8489136,
Read exit,8513441,24305
Read entry,8513650,
Read exit,8538474,24824
Read entry,8538683,
Read exit,8566709,28026
Read entry,8566917,
Read exit,8591261,24344
Read entry,8591956,
Read exit,8616460,24504
Read entry,8616669,
Read exit,8641153,24484
Read entry,8641362,
Read exit,8666415,25053
Read entry,8666624,
Read exit,8691617,24993
Read entry,8691826,
Read exit,8716324,24498
Read entry,8716532,
Read exit,8740654,24122
Read entry,8740863,
Read exit,8767791,26928
Read entry,8768000,
Read exit,8792198,24198
Read entry,8792407,
Read exit,8817178,24771
Read entry,8817387,
Read exit,8842697,25310
Read entry,8842906,
Read exit,8867945,25039
Read entry,8868154,
Read exit,8892433,24279
Read entry,8892642,
Read exit,8916919,24277
Read entry,8917128,
Read exit,8941420,24292
Read entry,8941629,
Read exit,8969613,27984
Read entry,8969821,
Read exit,8994491,24670
Read entry,8994699,
Read exit,9019146,24447
Read entry,9019355,
Read exit,9043647,24292
Read entry,9043856,
Read exit,9068362,24506
Read entry,9068571,
Read exit,9093199,24628
Read entry,9093408,
Read exit,9118523,25115
Read entry,9118732,
Read exit,9143748,25016
Read entry,9143956,
Read exit,9171381,27425
Read entry,9171590,
Read exit,9195490,23900
Read entry,9195699,
Read exit,9219756,24057
Read entry,9219965,
Read exit,9244029,24064
Read entry,9244238,
Read exit,9268787,24549
Read entry,9268996,
Read exit,9293434,24438
Read entry,9293643,
Read exit,9318289,24646
Read entry,9318498,
Read exit,9342716,24218
Read entry,9342925,
Read exit,9370197,27272
Read entry,9370406,
Read exit,9395114,24708
Read entry,9395323,
Read exit,9419686,24363
Read entry,9419895,
Read exit,9444501,24606
Read entry,9444709,
Read exit,9469180,24471
Read entry,9469388,
Read exit,9493487,24099
Read entry,9493695,
Read exit,9517912,24217
Read entry,9518121,
Read exit,9542490,24369
Read entry,9542699,
Read exit,9570502,27803
Read entry,9570711,
Read exit,9595727,25016
Read entry,9595935,
Read exit,9620572,24637
Read entry,9620781,
Read exit,9645248,24467
Read entry,9645456,
Read exit,9669984,24528
Read entry,9670193,
Read exit,9694657,24464
Read entry,9694865,
Read exit,9719901,25036
Read entry,9720109,
Read exit,9745068,24959
Read entry,9745277,
Read exit,9772881,27604
Read entry,9773090,
Read exit,9797664,24574
Read entry,9797872,
Read exit,9822595,24723
Read entry,9822804,
Read exit,9848173,25369
Read entry,9848382,
Read exit,9873486,25104
Read entry,9873695,
Read exit,9898424,24729
Read entry,9898633,
Read exit,9923364,24731
Read entry,9923573,
Read exit,9948293,24720
Read entry,9948502,
Read exit,9976169,27667
Read entry,9976378,
Read exit,10000944,24566
Read entry,10001152,
Read exit,10025491,24339
Read entry,10025700,
Read exit,10050032,24332
Read entry,10050241,
Read exit,10074587,24346
Read entry,10074795,
Read exit,10099633,24838
Read entry,10099842,
Read exit,10124772,24930
Read entry,10124981,
Read exit,10149473,24492
Read entry,10149682,
Read exit,10177167,27485
Read entry,10177376,
Read exit,10201893,24517
Read entry,10202102,
Read exit,10226362,24260
Read entry,10226571,
Read exit,10250621,24050
Read entry,10250829,
Read exit,10274961,24132
Read entry,10275169,
Read exit,10300144,24975
Read entry,10300352,
Read exit,10325232,24880
Read entry,10325441,
Read exit,10349461,24020
Read entry,10349670,
Read exit,10377152,27482
Read entry,10377361,
Read exit,10401974,24613
Read entry,10402183,
Read exit,10426849,24666
Read entry,10427058,
Read exit,10451344,24286
Read entry,10451553,
Read exit,10475839,24286
Read entry,10476048,
Read exit,10500337,24289
Read entry,10500546,
Read exit,10525371,24825
Read entry,10525580,
Read exit,10550439,24859
Read entry,10550647,
Read exit,10578157,27510
Read entry,10578366,
Read exit,10602833,24467
Read entry,10603041,
Read exit,10628073,25032
Read entry,10628282,
Read exit,10653038,24756
Read entry,10653247,
Read exit,10677785,24538
Read entry,10677994,
Read exit,10702529,24535
Read entry,10702738,
Read exit,10727748,25010
Read entry,10727957,
Read exit,10752877,24920
Read entry,10753086,
Read exit,10780023,26937
Read entry,10780232,
Read exit,10804278,24046
Read entry,10804486,
Read exit,10829192,24706
Read entry,10829401,
Read exit,10853847,24446
Read entry,10854056,
Read exit,10877686,23630
Read entry,10877895,
Read exit,10902109,24214
Read entry,10902318,
Read exit,10926243,23925
Read entry,10926452,
Read exit,10950548,24096
Read entry,10950757,
Read exit,10978517,27760
Read entry,10978726,
Read exit,11002951,24225
Read entry,11003160,
Read exit,11027433,24273
Read entry,11027642,
Read exit,11052424,24782
Read entry,11052633,
Read exit,11077320,24687
Read entry,11077528,
Read exit,11102219,24691
Read entry,11102428,
Read exit,11126799,24371
Read entry,11127008,
Read exit,11151477,24469
Read entry,11151685,
Read exit,11179599,27914
Read entry,11179808,
Read exit,11204378,24570
Read entry,11204587,
Read exit,11229156,24569
Read entry,11229365,
Read exit,11253934,24569
Read entry,11254143,
Read exit,11279180,25037
Read entry,11279389,
Read exit,11304339,24950
Read entry,11304548,
Read exit,11329120,24572
Read entry,11329328,
Read exit,11353897,24569
Read entry,11354106,
Read exit,11382356,28250
Read entry,11382565,
Read exit,11407127,24562
Read entry,11407824,
Read exit,11432618,24794
Read entry,11432827,
Read exit,11458136,25309
Read entry,11458344,
Read exit,11483540,25196
Read entry,11483749,
Read exit,11508577,24828
Read entry,11508786,
Read exit,11533597,24811
Read entry,11533806,
Read exit,11558625,24819
Read entry,11558834,
Read exit,11586596,27762
Read entry,11586805,
Read exit,11610978,24173
Read entry,11611187,
Read exit,11635156,23969
Read entry,11635365,
Read exit,11659328,23963
Read entry,11659537,
Read exit,11683739,24202
Read entry,11683948,
Read exit,11708210,24262
Read entry,11708419,
Read exit,11732391,23972
Read entry,11732600,
Read exit,11756941,24341
Read entry,11757149,
Read exit,11785006,27857
Read entry,11785215,
Read exit,11809566,24351
Read entry,11809775,
Read exit,11833906,24131
Read entry,11834114,
Read exit,11858244,24130
Read entry,11858453,
Read exit,11882591,24138
Read entry,11882799,
Read exit,11907418,24619
Read entry,11907627,
Read exit,11932132,24505
Read entry,11932341,
Read exit,11956471,24130
Read entry,11956680,
Read exit,11983914,27234
Read entry,11984123,
Read exit,12009077,24954
Read entry,12009286,
Read exit,12034186,24900
Read entry,12034395,
Read exit,12058854,24459
Read entry,12059063,
Read exit,12083428,24365
Read entry,12083637,
Read exit,12108009,24372
Read entry,12108218,
Read exit,12133073,24855
Read entry,12133282,
Read exit,12158041,24759
Read entry,12158250,
Read exit,12185649,27399
Read entry,12185858,
Read exit,12210730,24872
Read entry,12210939,
Read exit,12235859,24920
Read entry,12236068,
Read exit,12260449,24381
Read entry,12260658,
Read exit,12285202,24544
Read entry,12285410,
Read exit,12310107,24697
Read entry,12310316,
Read exit,12335000,24684
Read entry,12335209,
Read exit,12360120,24911
Read entry,12360328,
Read exit,12387298,26970
Read entry,12387507,
Read exit,12411452,23945
Read entry,12411661,
Read exit,12436206,24545
Read entry,12436415,
Read exit,12460845,24430
Read entry,12461054,
Read exit,12485166,24112
Read entry,12485375,
Read exit,12509527,24152
Read entry,12509736,
Read exit,12534041,24305
Read entry,12534250,
Read exit,12558884,24634
Read entry,12559093,
Read exit,12587154,28061
Read entry,12587363,
Read exit,12611672,24309
Read entry,12611881,
Read exit,12636915,25034
Read entry,12637124,
Read exit,12661925,24801
Read entry,12662134,
Read exit,12686921,24787
Read entry,12687129,
Read exit,12711598,24469
Read entry,12711807,
Read exit,12736219,24412
Read entry,12736428,
Read exit,12761335,24907
Read entry,12761543,
Read exit,12789636,28093
Read entry,12789845,
Read exit,12814254,24409
Read entry,12814462,
Read exit,12839031,24569
Read entry,12839239,
Read exit,12864293,25054
Read entry,12864502,
Read exit,12889519,25017
Read entry,12889728,
Read exit,12914390,24662
Read entry,12914599,
Read exit,12939258,24659
Read entry,12939467,
Read exit,12964599,25132
Read entry,12964808,
Read exit,12993172,28364
Read entry,12993380,
Read exit,12995723,2343
min,2343,
max,58551,
Set mark entry,12996013,
Set mark exit,13053713,57700
Close entry,13053917,
Close exit,13056805,2888
Read file block-by-block,File size is 256Kb,
Open entry,0,
Open exit,255167,255167
Block read entry,255436,
Block read exit,283915,28479
Block read entry,284219,
Block read exit,303098,18879
Block read entry,303400,
Block read exit,322268,18868
Block read entry,323055,
Block read exit,341926,18871
Block read entry,342225,
Block read exit,361489,19264
Block read entry,361788,
Block read exit,380670,18882
Block read entry,380969,
Block read exit,399848,18879
Block read entry,400147,
Block read exit,421581,21434
Block read entry,421880,
Block read exit,440281,18401
Block read entry,440583,
Block read exit,459041,18458
Block read entry,459340,
Block read exit,477734,18394
Block read entry,478036,
Block read exit,496437,18401
Block read entry,496736,
Block read exit,515137,18401
Block read entry,515436,
Block read exit,533737,18301
Block read entry,534039,
Block read exit,552590,18551
Block read entry,552889,
Block read exit,574484,21595
Block read entry,574783,
Block read exit,593334,18551
Block read entry,593633,
Block read exit,612583,18950
Block read entry,612882,
Block read exit,631434,18552
Block read entry,631733,
Block read exit,650285,18552
Block read entry,650584,
Block read exit,669143,18559
Block read entry,669442,
Block read exit,688387,18945
Block read entry,688686,
Block read exit,707241,18555
Block read entry,707540,
Block read exit,729295,21755
Block read entry,729594,
Block read exit,748139,18545
Block read entry,748438,
Block read exit,767148,18710
Block read entry,767447,
Block read exit,786166,18719
Block read entry,786465,
Block read exit,805337,18872
Block read entry,805636,
Block read exit,824351,18715
Block read entry,824650,
Block read exit,843365,18715
Block read entry,843664,
Block read exit,862272,18608
Block read entry,862571,
Block read exit,884329,21758
Block read entry,884628,
Block read exit,903346,18718
Block read entry,903645,
Block read exit,922520,18875
Block read entry,922819,
Block read exit,941433,18614
Block read entry,941732,
Block read exit,960604,18872
Block read entry,960903,
Block read exit,979782,18879
Block read entry,980081,
Block read exit,998953,18872
Block read entry,999252,
Block read exit,1018024,18772
Block read entry,1018323,
Block read exit,1040194,21871
Block read entry,1040493,
Block read exit,1058780,18287
Block read entry,1059082,
Block read exit,1077482,18400
Block read entry,1077781,
Block read exit,1096345,18564
Block read entry,1096644,
Block read exit,1115048,18404
Block read entry,1115347,
Block read exit,1133645,18298
Block read entry,1133944,
Block read exit,1152505,18561
Block read entry,1152804,
Block read exit,1171192,18388
Block read entry,1171491,
Block read exit,1193249,21758
Block read entry,1193548,
Block read exit,1212093,18545
Block read entry,1212392,
Block read exit,1230949,18557
Block read entry,1231248,
Block read exit,1249701,18453
Block read entry,1250000,
Block read exit,1268557,18557
Block read entry,1268856,
Block read exit,1287407,18551
Block read entry,1287706,
Block read exit,1306421,18715
Block read entry,1306720,
Block read exit,1325436,18716
Block read entry,1325735,
Block read exit,1347490,21755
Block read entry,1347789,
Block read exit,1366396,18607
Block read entry,1366695,
Block read exit,1385304,18609
Block read entry,1385603,
Block read exit,1404324,18721
Block read entry,1404623,
Block read exit,1423328,18705
Block read entry,1423627,
Block read exit,1442340,18713
Block read entry,1442639,
Block read exit,1461352,18713
Block read entry,1461651,
Block read exit,1480750,19099
Block read entry,1481049,
Block read exit,1503441,22392
Block read entry,1503740,
Block read exit,1522458,18718
Block read entry,1522757,
Block read exit,1541632,18875
Block read entry,1541931,
Block read exit,1560813,18882
Block read entry,1561112,
Block read exit,1579995,18883
Block read entry,1580294,
Block read exit,1599061,18767
Block read entry,1599360,
Block read exit,1618134,18774
Block read entry,1618433,
Block read exit,1637312,18879
Block read entry,1637611,
Block read exit,1659041,21430
Block read entry,1659340,
Block read exit,1677791,18451
Block read entry,1678577,
Block read exit,1696967,18390
Block read entry,1697266,
Block read exit,1715554,18288
Block read entry,1715853,
Block read exit,1734141,18288
Block read entry,1734440,
Block read exit,1752834,18394
Block read entry,1753133,
Block read exit,1771533,18400
Block read entry,1771832,
Block read exit,1790228,18396
Block read entry,1790527,
Block read exit,1812115,21588
Block read entry,1812414,
Block read exit,1830863,18449
Block read entry,1831162,
Block read exit,1849714,18552
Block read entry,1850013,
Block read exit,1868566,18553
Block read entry,1868865,
Block read exit,1887411,18546
Block read entry,1887710,
Block read exit,1906267,18557
Block read entry,1906566,
Block read exit,1925019,18453
Block read entry,1925318,
Block read exit,1943866,18548
Block read entry,1944165,
Block read exit,1965765,21600
Block read entry,1966064,
Block read exit,1984777,18713
Block read entry,1985076,
Block read exit,2003787,18711
Block read entry,2004086,
Block read exit,2022963,18877
Block read entry,2023262,
Block read exit,2041976,18714
Block read entry,2042275,
Block read exit,2060885,18610
Block read entry,2061184,
Block read exit,2079898,18714
Block read entry,2080197,
Block read exit,2098918,18721
Block read entry,2099217,
Block read exit,2121124,21907
Block read entry,2121423,
Block read exit,2140144,18721
Block read entry,2140443,
Block read exit,2159313,18870
Block read entry,2159612,
Block read exit,2178867,19255
Block read entry,2179166,
Block read exit,2198047,18881
Block read entry,2198346,
Block read exit,2217221,18875
Block read entry,2217520,
Block read exit,2236397,18877
Block read entry,2237183,
Block read exit,2256057,18874
Block read entry,2256356,
Block read exit,2277792,21436
Block read entry,2278091,
Block read exit,2296541,18450
Block read entry,2296840,
Block read exit,2315190,18350
Block read entry,2315489,
Block read exit,2333885,18396
Block read entry,2334184,
Block read exit,2352572,18388
Block read entry,2352871,
Block read exit,2371267,18396
Block read entry,2371566,
Block read exit,2390015,18449
Block read entry,2390314,
Block read exit,2408760,18446
Block read entry,2409059,
Block read exit,2430646,21587
Block read entry,2430945,
Block read exit,2449498,18553
Block read entry,2449797,
Block read exit,2468347,18550
Block read entry,2468646,
Block read exit,2487334,18688
Block read entry,2487633,
Block read exit,2506087,18454
Block read entry,2506386,
Block read exit,2524839,18453
Block read entry,2525138,
Block read exit,2543695,18557
Block read entry,2543994,
Block read exit,2562554,18560
Block read entry,2563341,
Block read exit,2585091,21750
Block read entry,2585874,
Block read exit,2604433,18559
Block read entry,2604732,
Block read exit,2623442,18710
Block read entry,2623741,
