Read file in one pass,File size is 128Kb,
Block read entry,2597607,
Block read exit,2616324,18717
Block read entry,2616623,
Block read exit,2635336,18713
Block read entry,2635635,
Block read exit,2654348,18713
Block read entry,2654647,
Block read exit,2673745,19098
Block read entry,2674044,
Block read exit,2696606,22562
Block read entry,2696905,
Block read exit,2715679,18774
Block read entry,2715978,
Block read exit,2734847,18869
Block read entry,2735146,
Block read exit,2754017,18871
Block read entry,2754316,
Block read exit,2773200,18884
Block read entry,2773499,
Block read exit,2792374,18875
Block read entry,2792673,
Block read exit,2811936,19263
Block read entry,2812235,
Block read exit,2831109,18874
Block read entry,2831408,
Block read exit,2852681,21273
Block read entry,2852980,
Block read exit,2871252,18272
Block read entry,2871551,
Block read exit,2889944,18393
Block read entry,2890243,
Block read exit,2908643,18400
Block read entry,2908942,
Block read exit,2927727,18785
Block read entry,2928026,
Block read exit,2946422,18396
Block read entry,2946721,
Block read exit,2965107,18386
Block read entry,2965406,
Block read exit,2983795,18389
Block read entry,2984094,
Block read exit,3005694,21600
Block read entry,3005993,
Block read exit,3024548,18555
Block read entry,3024847,
Block read exit,3043295,18448
Block read entry,3043594,
Block read exit,3062146,18552
Block read entry,3062445,
Block read exit,3081000,18555
Block read entry,3081299,
Block read exit,3100014,18715
Block read entry,3100313,
Block read exit,3118870,18557
Block read entry,3119169,
Block read exit,3138110,18941
Block read entry,3138409,
Block read exit,3160650,22241
Block read entry,3160949,
Block read exit,3179666,18717
Block read entry,3179965,
Block read exit,3198682,18717
Block read entry,3198981,
Block read exit,3217690,18709
Block read entry,3217989,
Block read exit,3236693,18704
Block read entry,3236992,
Block read exit,3255605,18613
Block read entry,3255904,
Block read exit,3274618,18714
Block read entry,3274917,
Block read exit,3293634,18717
Block read entry,3293933,
Block read exit,3315697,21764
Block read entry,3315996,
Block read exit,3334878,18882
Block read entry,3335663,
Block read exit,3354368,18705
Block read entry,3354667,
Block read exit,3373374,18707
Block read entry,3373673,
Block read exit,3392944,19271
Block read entry,3393243,
Block read exit,3412111,18868
Block read entry,3412410,
Block read exit,3431282,18872
Block read entry,3431581,
Block read exit,3450455,18874
Block read entry,3450754,
Block read exit,3472188,21434
Block read entry,3472487,
Block read exit,3490887,18400
Block read entry,3491186,
Block read exit,3510179,18993
Block read entry,3510478,
Block read exit,3528874,18396
Block read entry,3529173,
Block read exit,3547573,18400
Block read entry,3547872,
Block read exit,3566272,18400
Block read entry,3566571,
Block read exit,3584949,18378
Block read entry,3585248,
Block read exit,3604024,18776
Block read entry,3604323,
Block read exit,3626410,22087
Block read entry,3626709,
Block read exit,3645259,18550
Block read entry,3645558,
Block read exit,3664123,18565
Block read entry,3664422,
Block read exit,3682977,18555
Block read entry,3683276,
Block read exit,3701829,18553
Block read entry,3702128,
Block read exit,3721054,18926
Block read entry,3721353,
Block read exit,3739905,18552
Block read entry,3740204,
Block read exit,3758759,18555
Block read entry,3759058,
Block read exit,3780811,21753
Block read entry,3781110,
Block read exit,3799828,18718
Block read entry,3800127,
Block read exit,3818844,18717
Block read entry,3819143,
Block read exit,3838239,19096
Block read entry,3838538,
Block read exit,3857245,18707
Block read entry,3857544,
Block read exit,3876415,18871
Block read entry,3876714,
Block read exit,3895430,18716
Block read entry,3895729,
Block read exit,3914433,18704
Block read entry,3914732,
Block read exit,3936647,21915
Block read entry,3936946,
Block read exit,3955661,18715
Block read entry,3955960,
Block read exit,3974728,18768
Block read entry,3975027,
Block read exit,3993897,18870
Block read entry,3994196,
Block read exit,4013057,18861
Block read entry,4013356,
Block read exit,4032230,18874
Block read entry,4032529,
Block read exit,4051406,18877
Block read entry,4051705,
Block read exit,4070633,18928
Block read entry,4070932,
Block read exit,4092583,21651
Block read entry,4092882,
Block read exit,4111114,18232
Block read entry,4111416,
Block read exit,4129814,18398
Block read entry,4130113,
Block read exit,4148505,18392
Block read entry,4148804,
Block read exit,4167209,18405
Block read entry,4167508,
Block read exit,4186279,18771
Block read entry,4186578,
Block read exit,4204976,18398
Block read entry,4205275,
Block read exit,4223675,18400
Block read entry,4223974,
Block read exit,4245406,21432
Block read entry,4245705,
Block read exit,4264252,18547
Block read entry,4264551,
Block read exit,4283106,18555
Block read entry,4283405,
Block read exit,4302349,18944
Block read entry,4302648,
Block read exit,4321207,18559
Block read entry,4321506,
Block read exit,4340051,18545
Block read entry,4340350,
Block read exit,4358909,18559
Block read entry,4359208,
Block read exit,4377766,18558
Block read entry,4378065,
Block read exit,4400147,22082
Block read entry,4400446,
Block read exit,4419386,18940
Block read entry,4419685,
Block read exit,4438407,18722
Block read entry,4438706,
Block read exit,4457421,18715
Block read entry,4457720,
Block read exit,4476438,18718
Block read entry,4476737,
Block read exit,4495455,18718
Block read entry,4495754,
Block read exit,4514362,18608
Block read entry,4514661,
Block read exit,4533276,18615
Block read entry,4533575,
Block read exit,4555494,21919
Block read entry,4555793,
Block read exit,4574502,18709
Block read entry,4574801,
Block read exit,4593676,18875
Block read entry,4593975,
Block read exit,4612689,18714
Block read entry,4612988,
Block read exit,4631856,18868
Block read entry,4632155,
Block read exit,4651413,19258
Block read entry,4651712,
Block read exit,4670593,18881
Block read entry,4670892,
Block read exit,4689765,18873
Block read entry,4690064,
Block read exit,4711343,21279
Block read entry,4711642,
Block read exit,4730040,18398
Block read entry,4730339,
Block read exit,4748724,18385
Block read entry,4749023,
Block read exit,4767844,18821
Block read entry,4768143,
Block read exit,4786541,18398
Block read entry,4786840,
Block read exit,4805233,18393
Block read entry,4805532,
Block read exit,4824096,18564
Block read entry,4824395,
Block read exit,4842795,18400
Block read entry,4843094,
Block read exit,4865012,21918
Block read entry,4865311,
Block read exit,4884259,18948
Block read entry,4884558,
Block read exit,4903117,18559
Block read entry,4903416,
Block read exit,4922113,18697
Block read entry,4922412,
Block read exit,4940977,18565
Block read entry,4941276,
Block read exit,4959828,18552
Block read entry,4960127,
Block read exit,4979070,18943
Block read entry,4979369,
Block read exit,4997927,18558
Block read entry,4998226,
Block read exit,5019977,21751
Block read entry,5020276,
Block read exit,5038826,18550
Block read entry,5039125,
Block read exit,5057838,18713
Block read entry,5058137,
Block read exit,5076857,18720
Block read entry,5077156,
Block read exit,5095769,18613
Block read entry,5096068,
Block read exit,5114779,18711
Block read entry,5115078,
Block read exit,5133953,18875
Block read entry,5134252,
Block read exit,5152969,18717
Block read entry,5153755,
Block read exit,5175670,21915
min,18232,
max,26878,
Set mark entry,5175962,
Set mark exit,5176190,228
Close entry,5176390,
Close exit,5176576,186
Read file b-by-b low level,File size is 128Kb,
Open entry,0,
Open exit,113127,113127
Block read entry,113398,
Block read exit,138388,24990
Block read entry,138692,
Block read exit,158261,19569
Block read entry,158563,
Block read exit,177748,19185
Block read entry,178050,
Block read exit,197233,19183
Block read entry,197535,
Block read exit,216723,19188
Block read entry,217022,
Block read exit,236603,19581
Block read entry,236902,
Block read exit,256094,19192
Block read entry,256393,
Block read exit,277967,21574
Block read entry,278266,
Block read exit,296813,18547
Block read entry,297115,
Block read exit,315819,18704
Block read entry,316118,
Block read exit,335196,19078
Block read entry,335495,
Block read exit,354192,18697
Block read entry,354491,
Block read exit,373206,18715
Block read entry,373505,
Block read exit,392206,18701
Block read entry,392505,
Block read exit,411603,19098
Block read entry,411902,
Block read exit,433648,21746
Block read entry,433947,
Block read exit,452811,18864
Block read entry,453110,
Block read exit,471978,18868
Block read entry,472277,
Block read exit,491145,18868
Block read entry,491444,
Block read exit,510205,18761
Block read entry,510504,
Block read exit,529365,18861
Block read entry,529664,
Block read exit,548526,18862
Block read entry,548825,
Block read exit,567747,18922
Block read entry,568046,
Block read exit,590446,22400
Block read entry,590745,
Block read exit,609499,18754
Block read entry,609798,
Block read exit,628819,19021
Block read entry,629118,
Block read exit,648141,19023
Block read entry,648440,
Block read exit,667465,19025
Block read entry,667764,
Block read exit,687182,19418
Block read entry,687481,
Block read exit,706509,19028
Block read entry,706808,
Block read exit,725990,19182
Block read entry,726775,
Block read exit,748840,22065
Block read entry,749139,
Block read exit,768164,19025
Block read entry,768463,
Block read exit,788204,19741
Block read entry,788503,
Block read exit,807691,19188
Block read entry,807990,
Block read exit,827175,19185
Block read entry,827474,
Block read exit,846670,19196
Block read entry,846969,
Block read exit,866154,19185
Block read entry,866453,
Block read exit,885525,19072
Block read entry,885824,
Block read exit,907568,21744
Block read entry,907867,
Block read exit,926575,18708
Block read entry,926874,
Block read exit,945576,18702
Block read entry,945875,
Block read exit,964472,18597
Block read entry,964771,
Block read exit,983474,18703
Block read entry,983773,
Block read exit,1002477,18704
Block read entry,1002776,
Block read exit,1021482,18706
Block read entry,1021781,
Block read exit,1040642,18861
Block read entry,1040941,
Block read exit,1063179,22238
Block read entry,1063478,
Block read exit,1082573,19095
Block read entry,1082872,
Block read exit,1101735,18863
Block read entry,1102034,
Block read exit,1120900,18866
Block read entry,1121199,
Block read exit,1140060,18861
Block read entry,1140841,
Block read exit,1159706,18865
Block read entry,1160005,
Block read exit,1178873,18868
Block read entry,1179172,
Block read exit,1198585,19413
Block read entry,1198884,
Block read exit,1221327,22443
Block read entry,1221626,
Block read exit,1240640,19014
Block read entry,1240939,
Block read exit,1259971,19032
Block read entry,1260270,
Block read exit,1279298,19028
Block read entry,1280083,
Block read exit,1299111,19028
Block read entry,1299410,
Block read exit,1318435,19025
Block read entry,1318734,
Block read exit,1338149,19415
Block read entry,1338448,
Block read exit,1357465,19017
Block read entry,1357764,
Block read exit,1379828,22064
Block read entry,1380127,
Block read exit,1399471,19344
Block read entry,1399770,
Block read exit,1419118,19348
Block read entry,1419417,
Block read exit,1438765,19348
Block read entry,1439064,
Block read exit,1458412,19348
Block read entry,1458711,
Block read exit,1477961,19250
Block read entry,1478260,
Block read exit,1497497,19237
Block read entry,1497796,
Block read exit,1516969,19173
Block read entry,1517268,
Block read exit,1538852,21584
Block read entry,1539151,
Block read exit,1557695,18544
Block read entry,1557997,
Block read exit,1576694,18697
Block read entry,1576993,
Block read exit,1595848,18855
Block read entry,1596147,
Block read exit,1615240,19093
Block read entry,1615539,
Block read exit,1634237,18698
Block read entry,1634536,
Block read exit,1653240,18704
Block read entry,1653539,
Block read exit,1672250,18711
Block read entry,1672549,
Block read exit,1694290,21741
Block read entry,1694589,
Block read exit,1713457,18868
Block read entry,1713756,
Block read exit,1732628,18872
Block read entry,1732927,
Block read exit,1751677,18750
Block read entry,1751976,
Block read exit,1770839,18863
Block read entry,1771138,
Block read exit,1789999,18861
Block read entry,1790298,
Block read exit,1809153,18855
Block read entry,1809452,
Block read exit,1828316,18864
Block read entry,1828615,
Block read exit,1851017,22402
Block read entry,1851316,
Block read exit,1870778,19462
Block read entry,1871077,
Block read exit,1889837,18760
Block read entry,1890136,
Block read exit,1909163,19027
Block read entry,1909462,
Block read exit,1928486,19024
Block read entry,1928785,
Block read exit,1947808,19023
Block read entry,1948107,
Block read exit,1967133,19026
Block read entry,1967432,
Block read exit,1986842,19410
Block read entry,1987141,
Block read exit,2009846,22705
Block read entry,2010145,
Block read exit,2029062,18917
Block read entry,2029361,
Block read exit,2048392,19031
Block read entry,2048691,
Block read exit,2067718,19027
Block read entry,2068017,
Block read exit,2087198,19181
Block read entry,2087497,
Block read exit,2106688,19191
Block read entry,2106987,
Block read exit,2126071,19084
Block read entry,2126370,
Block read exit,2145450,19080
Block read entry,2145749,
Block read exit,2167328,21579
Block read entry,2167627,
Block read exit,2186176,18549
Block read entry,2186475,
Block read exit,2205171,18696
Block read entry,2205470,
Block read exit,2224173,18703
Block read entry,2224472,
Block read exit,2243181,18709
Block read entry,2243480,
Block read exit,2262566,19086
Block read entry,2262865,
Block read exit,2281572,18707
Block read entry,2281871,
Block read exit,2300739,18868
Block read entry,2301038,
Block read exit,2322944,21906
Block read entry,2323243,
Block read exit,2342117,18874
Block read entry,2342416,
Block read exit,2361283,18867
Block read entry,2361582,
Block read exit,2380470,18888
Block read entry,2380769,
Block read exit,2399528,18759
Block read entry,2399827,
Block read exit,2418685,18858
Block read entry,2418984,
Block read exit,2437840,18856
Block read entry,2438139,
Block read exit,2457009,18870
Block read entry,2457308,
